-o;o.0;头[tou],頭[tou]
oazo;oaz.0o;綠洲[lù: zhōu],绿洲[lù: zhōu]
oazo;oaz.0o;沙漠中的綠洲[shā mò zhòng dì lǜ zhōu],沙漠中的绿洲[shā mò zhòng dì lǜ zhōu]
impostoazo;oaz.impost0o;逃稅天堂[táo shuì tiān táng],逃税天堂[táo shuì tiān táng]
obeado;obe.0ado;順從[shùn cóng],顺从[shùn cóng]
obeado;obe.0ado;屈服[qū fú]
obee al;obe.0eal;合格[hé gé]
obee al;obe.0eal;依[yī]
obee al;obe.0eal;依着[yī zhe],依著[yī zhe]
obeema;obe.0ema;听话[tīng huà],聽話[tīng huà]
obeema;obe.0ema;順從[shùn cóng],顺从[shùn cóng]
obeema;obe.0ema;叒[ruò]
obeema;obe.0ema;服服帖帖[fú fu tiē tiē]
obeema;obe.0ema;可順從[kě shùn cóng],可顺从[kě shùn cóng]
obeema;obe.0ema;容易变化[róng yì biàn huà],容易變化[róng yì biàn huà]
obeema;obe.0ema;易于管理[yì yú guǎn lǐ],易於管理[yì yú guǎn lǐ]
obeema;obe.0ema;温驯[wēn xùn],溫馴[wēn xùn]
obeema;obe.0ema;馴服的[xún fú de],驯服的[xún fú de]
obei;obe.0i;用命[yòng mìng]
obei;obe.0i;帖[tiē]
obei;obe.0i;听话[tīng huà],聽話[tīng huà]
obei;obe.0i;听从[tīng cóng],聽從[tīng cóng]
obei;obe.0i;遵守[zūn shǒu]
obei;obe.0i;服从[fú cóng],服從[fú cóng]
obei;obe.0i;遵从[zūn cóng],遵從[zūn cóng]
obeigi;obe.0igi;伏[fú]
malobeema;obe.mal0ema;不听话[bù tīng huà],不聽話[bù tīng huà]
malobeema;obe.mal0ema;不服气[bù fú qì],不服氣[bù fú qì]
malobeema;obe.mal0ema;乖迕[guāi wǔ]
malobeema;obe.mal0ema;刚愎[gāng bì],剛愎[gāng bì]
malobeema;obe.mal0ema;刚愎自用[gāng bì zì yòng],剛愎自用[gāng bì zì yòng]
malobeema;obe.mal0ema;坚持已见[jiān chí yǐ jiàn],堅持已見[jiān chí yǐ jiàn]
malobeema;obe.mal0ema;忤[wǔ]
malobeema;obe.mal0ema;拗[niù]
malobeema;obe.mal0ema;有主見[yǒu zhǔ jiàn],有主见[yǒu zhǔ jiàn]
malobeema;obe.mal0ema;违命[wéi mìng],違命[wéi mìng]
malobeema;obe.mal0ema;难控制[nán kòng zhì],難控制[nán kòng zhì]
malobei;obe.mal0i;不顧反對[bù gù fǎn duì],不顾反对[bù gù fǎn duì]
malobei;obe.mal0i;冒犯[mào fàn]
malobei;obe.mal0i;拒絕[jù jué],拒绝[jù jué]
malobei;obe.mal0i;违令[wéi lìng],違令[wéi lìng]
malobei;obe.mal0i;反抗[fǎn kàng]
malobei;obe.mal0i;抗拒[kàng jù]
malobei;obe.mal0i;攘[rǎng]
obelisko;obelis.0o;方尖塔[fāng jiān tǎ]
obelisko;obelis.0o;方尖柱[fāng jiān zhù]
obelisko;obelis.0o;方尖石塔[fāng jiān shí tǎ]
obelisko;obelis.0o;疑問記號[yí wèn jì hao],疑问记号[yí wèn jì hao]
obelisko;obelis.0o;短剑号[duǎn jiàn hào],短劍號[duǎn jiàn hào]
obelisko;obelis.0o;方尖碑[fāng jiān bēi]
obeza;obez.0a;肥胖[féi pàng]
obeza;obez.0a;便便[pián pián]
obeza;obez.0a;臃肿[yōng zhǒng],臃腫[yōng zhǒng]
obezeco;obez.0o;肥胖[féi pàng]
objekta;objekt.0a.perceptebla;与事实有关[yǔ shì shí yǒu guān],與事實有關[yǔ shì shí yǒu guān]
objekta;objekt.0a.perceptebla;受格[shòu gé]
objekto;objekt.0o;縡[zài]
objekto;objekt.0o;嘢[yě]
objekto;objekt.0o;玩艺[wán yì],玩藝[wán yì]
objekto;objekt.0o;物件[wù jiàn]
objekto;objekt.0o.GRA;沒有偏見[méi yǒu piān jiàn],没有偏见[méi yǒu piān jiàn]
objekto;objekt.0o.GRA;目标[mù biāo],目標[mù biāo]
objekto;objekt.0o.GRA;直接宾语[zhí jiē bīn yǔ],直接賓語[zhí jiē bīn yǔ]
objekto;objekt.0o.GRA;玩艺[wán yì],玩藝[wán yì]
objekto;objekt.0o.GRA;宾语[bīn yǔ],賓語[bīn yǔ]
objekto de studo;objekt.stud0o.PED;題目[tí mù],题目[tí mù]
objektiva;objekt1.0a;客觀[kè guān],客观[kè guān]
objektiva;objekt1.0a;受格[shòu gé]
objektiveco;objekt1.0eco;客觀性[kè guān xìng],客观性[kè guān xìng]
objektivo;objekt2.0o;物鏡[wù jìng],物镜[wù jìng]
obĵeti;objxet.0i;牴触[dǐ chù],牴觸[dǐ chù]
obĵeti;objxet.0i;駁[bó],驳[bó]
obĵeti;objxet.0i;頂撞[dǐng zhuàng],顶撞[dǐng zhuàng]
obĵeto;objxet.0o;二話[èr huà],二话[èr huà]
obĵeto;objxet.0o;异议[yì yì],異議[yì yì]
obĵeto;objxet.0o;不同意[bù tóng yì]
obleco;obl.0eco;倍数[bèi shù],倍數[bèi shù]
obligi;obl.0igi;相乘[xiāng chéng]
obligi;obl.0igi;倍增[bèi zēng]
obligi;obl.0igi;再育[zài yù]
oblo;obl.0o;多工[duō gōng]
oblo;obl.0o;倍数[bèi shù],倍數[bèi shù]
oblo;obl.0o;整倍数[zhěng bèi shù],整倍數[zhěng bèi shù]
multobla;obl.mult0a;多个[duō ge],多個[duō ge]
multobla;obl.mult0a;多重[duō chóng]
multobla;obl.mult0a;倍式[bèi shì]
multobligi;obl.mult0igi;乘[chéng]
multobligi;obl.mult0igi;相乘[xiāng chéng]
plej malgranda komuna oblo;obl.plej_malgranda_komuna_0o;最小公倍数[zuì xiǎo gōng bèi shù],最小公倍數[zuì xiǎo gōng bèi shù]
plurobla;obl.plur0a;多工[duō gōng]
plurobla;obl.plur0a;倍数[bèi shù],倍數[bèi shù]
oblato;oblat.0o;威化餅乾[wēi huà bǐng gān],威化饼干[wēi huà bǐng gān]
obligacio;obliga.0o;债券[zhài quàn],債券[zhài quàn]
obligacio;obliga.0o;欠賬[qiàn zhàng],欠账[qiàn zhàng]
obligacio;obliga.0o;公司债券[gōng sī zhài quàn],公司債券[gōng sī zhài quàn]
oblikva;oblikv.0a;斜[xié]
oblikva;oblikv.0a;斜过[xié guò],斜過[xié guò]
oblikva;oblikv.0a;横斜[héng xié],橫斜[héng xié]
oblikva;oblikv.0a;頗[pō],颇[pō]
oblikviri;oblikv.0i.kie;躲閃[duǒ shǎn],躲闪[duǒ shǎn]
oblikviri;oblikv.0i.kie;避讓[bì ràng],避让[bì ràng]
oblikvo;oblikv.0o.signo;剸[tuán]
oblikvo;oblikv.0o.signo;斜線號[xié xiàn hào],斜线号[xié xiàn hào]
obolo;obol.0o;奥波勒斯[ào bō lēi sī],奧波勒斯[ào bō lēi sī]
obscena;obscen.0a;猥亵[wěi xiè],猥褻[wěi xiè]
obscena;obscen.0a;婬[yín]
obscena;obscen.0a;淫秽[yín huì],淫穢[yín huì]
obscena;obscen.0a;淫亵[yín xiè],淫褻[yín xiè]
obscena;obscen.0a;淫[yín],滛[yín]
obscena;obscen.0a;不合礼仪的[bù hé lǐ yí de],不合禮儀的[bù hé lǐ yí de]
obscena;obscen.0a;不正經[bù zhèng jing],不正经[bù zhèng jing]
obscenaĵo;obscen.0ajxo;淫秽[yín huì],淫穢[yín huì]
obscenaĵo;obscen.0ajxo;好色[hǎo sè]
obscenaĵo;obscen.0ajxo;淫秽语言或行为[yín huì yǔ yán huò xíng wéi],淫穢語言或行為[yín huì yǔ yán huò xíng wéi]
obscenaĵo;obscen.0ajxo;脏字[zāng zì],髒字[zāng zì]
obsedi;obsed.0i;乾著急[gān zháo jí],干着急[gān zháo jí]
obsedi;obsed.0i;极痛苦[jí tòng kǔ],極痛苦[jí tòng kǔ]
obsedi;obsed.0i;迷住[mí zhu]
obsedo;obsed.0o;热衷[rè zhōng],熱衷[rè zhōng]
observado;observ.0ado.obeo;遵守[zūn shǒu]
observado;observ.0ado.obeo;礼仪[lǐ yí],禮儀[lǐ yí]
observado;observ.0ado.obeo;考察[kǎo chá]
observaĵo;observ.0ajxo;知覺[zhī jué],知觉[zhī jué]
observanto;observ.0anto;觀察人士[guān chá rén shì],观察人士[guān chá rén shì]
observanto;observ.0anto;觀察員[guān chá yuán],观察员[guān chá yuán]
observanto;observ.0anto;觀察家[guān chá jiā],观察家[guān chá jiā]
observanto;observ.0anto;觀測者[guān cè zhě],观测者[guān cè zhě]
observanto;observ.0anto;旁觀者[páng guān zhě],旁观者[páng guān zhě]
observanto;observ.0anto;监测人员[jiān cè rén yuán],監測人員[jiān cè rén yuán]
observejo;observ.0ejo;监测所[jiān cè sǔp],監測所[jiān cè sǔp]
observi;observ.0i;觀測[guān cè],观测[guān cè]
observi;observ.0i;覘[chān],觇[chān]
observi;observ.0i;遵[zūn]
observi;observ.0i;觀察[guān chá],观察[guān chá]
kaŝobservi;observ.kasx0i;諜[dié],谍[dié]
kaŝobservi;observ.kasx0i;覘[chān],觇[chān]
kaŝobservi;observ.kasx0i;瞷[jiàn]
kaŝobservi;observ.kasx0i;詗[xiòng]
kaŝobservi;observ.kasx0i;伺[sì]
kaŝobservi;observ.kasx0i;詗[xiòng],诇[xiòng]
malobservi;observ.mal0i;犯[fàn]
malobservi;observ.mal0i;违[wéi],違[wéi]
malobservi;observ.mal0i;违背[wéi bèi],違背[wéi bèi]
astronomia observejo;observ.stel0ejo;监测所[jiān cè sǔp],監測所[jiān cè sǔp]
meteologia observejo;observ.veter0ejo;气象局[qì xiàng jú],氣象局[qì xiàng jú]
meteologia observejo;observ.veter0ejo;气象台[qì xiàng tái],氣象台[qì xiàng tái]
observatorio;observ1.0o;天文台[tiān wén tái]
observatorio;observ1.0o;瞭望台[liào wàng tái],瞭望臺[liào wàng tái]
observatorio;observ1.0o;觀察所[guān chá suǒ],观察所[guān chá suǒ]
observatorio;observ1.0o;觀測站[guān cè zhàn],观测站[guān cè zhàn]
observatorio;observ1.0o;监测所[jiān cè sǔp],監測所[jiān cè sǔp]
stelobservejo;;天文台[tiān wén tái]
observejo;;瞭望台[liào wàng tái]
obsidiano;obsidian.0o;黑曜岩[hēi yào yán]
obsidiano;obsidian.0o;黑曜石[hēi yào shí]
obskura;obskur.0a;暧[ài],曖[ài]
obskura;obskur.0a;奥[ào],奧[ào]
obskura;obskur.0a;悜[chěng]
obskura;obskur.0a;昧沒[mèi mò],昧没[mèi mò]
obskura;obskur.0a;叆[ài],靉[ài]
obstakli;obstak.0i;悮[wù]
obstakli;obstak.0i;妨[fáng]
obstakli;obstak.0i;妨碍[fáng ài],妨礙[fáng ài]
obstakli;obstak.0i;碍[ài],礙[ài]
obstakli;obstak.0i;絆[bàn],绊[bàn]
obstaklo;obstak.0o;障碍[zhàng ài],障礙[zhàng ài]
obstaklo;obstak.0o;阻碍[zǔ ài],阻礙[zǔ ài]
obstaklo;obstak.0o;障碍物[zhàng ài wù],障礙物[zhàng ài wù]
obstaklo;obstak.0o;难关[nán guān],難關[nán guān]
obstaklo;obstak.0o;大关[dà guān],大關[dà guān]
obstaklo;obstak.0o;絆腳石[bàn jiǎo shí],绊脚石[bàn jiǎo shí]
obstina;obstin.0a;頑固[wán gù],顽固[wán gù]
obstina;obstin.0a;固執[gù zhí],固执[gù zhí]
obstina;obstin.0a;倔強[jué jiàng],倔强[jué jiàng]
obstina;obstin.0a;愎[bì]
obstina;obstin.0a;拗[niù]
obstina;obstin.0a;硁[kēng],硜[kēng]
obstina;obstin.0a;紾[zhěn]
obstina;obstin.0a;強[jiàng],强[jiàng]
obstina;obstin.0a;繣[huà]
obstina;obstin.0a;死心眼儿[sǐ xīn yǎn r],死心眼兒[sǐ xīn yǎn r]
obstina;obstin.0a;迕[wǔ]
obstineco;obstin.0eco;頑固[wán gù],顽固[wán gù]
obstineco;obstin.0eco;牛心[niú xīn]
obstineco;obstin.0eco;牛性[niú xìng]
obstineco;obstin.0eco;倔強[jué jiàng],倔强[jué jiàng]
obstineco;obstin.0eco;任性[rèn xìng]
obstineco;obstin.0eco;犟劲[jiàng jìn],犟勁[jiàng jìn]
obstini;obstin.0i;一意孤行[yī yì gū xíng]
obstini;obstin.0i;挺[tǐng]
obstini;obstin.0i;坚执[jiān zhí],堅執[jiān zhí]
obstino;obstin.0o;頑固[wán gù],顽固[wán gù]
obstino;obstin.0o;牛心[niú xīn]
obstino;obstin.0o;牛性[niú xìng]
obstino;obstin.0o;倔強[jué jiàng],倔强[jué jiàng]
obstino;obstin.0o;任性[rèn xìng]
obstino;obstin.0o;犟劲[jiàng jìn],犟勁[jiàng jìn]
obstinulo;obstin.0ulo;啸鹟科[xiào wēng kē],嘯鶲科[xiào wēng kē]
obstrukci;obstru.0i;閡[hé],阂[hé]
obstrukci;obstru.0i;壅[yōng]
obstrukci;obstru.0i;妨碍[fáng ài],妨礙[fáng ài]
obstrukci;obstru.0i;挡住[dǎng zhù],擋住[dǎng zhù]
obstrukci;obstru.0i;拦阻[lán zǔ],攔阻[lán zǔ]
obstrukci;obstru.0i;滞塞[zhì sāi],滯塞[zhì sāi]
obstrukci;obstru.0i;窒[zhì]
obstrukci;obstru.0i;阻[zǔ]
obstrukco;obstru.0o;梗死[gěng sǐ]
obstrukco;obstru.0o;阻碍[zǔ ài],阻礙[zǔ ài]
obtuza;obtuz.0a.MUZ;沉悶[chén mèn],沉闷[chén mèn]
obtuza;obtuz.0a.MUZ;低沉[dī chén]
obtuza;obtuz.0a.angulo;不尖[bù jiān]
obtuza;obtuz.0a.angulo;鈍角[dùn jiǎo],钝角[dùn jiǎo]
obtuza;obtuz.0a.angulo;鈍[dùn],钝[dùn]
obuso;obus.0o;炮弹[pào dàn],炮彈[pào dàn]
oceano;ocean.0o;海洋[hǎi yáng]
oceano;ocean.0o;洋[yáng]
oceano;ocean.0o;大海[dà hǎi]
oceano;ocean.0o;海[hǎi]
oceano;ocean.0o;瀛[yíng]
oceano;ocean.0o;瀚[hàn]
Antarkta Oceano;ocean.AntarktaO0o;南冰洋[Nán bīng yáng]
Antarkta Oceano;ocean.AntarktaO0o;南大洋[Nán Dà yáng]
Antarkta Oceano;ocean.AntarktaO0o;南极海[Nán jí Hǎi],南極海[Nán jí Hǎi]
Norda Oceano;ocean.ArktaO0o;北冰洋[Běi bīng yáng]
Norda Oceano;ocean.ArktaO0o;北极海[běi jí hǎi],北極海[běi jí hǎi]
Atlanta Oceano;ocean.Atlanta_O0o;大西洋[Dà xī yáng]
Hinda Oceano;ocean.Hinda0o;印度洋[Yìn dù yáng]
Pacifika Oceano;ocean.Silenta_O0o;太平洋[Tài píng Yáng]
Oceanio;oceani.O0o;大洋洲[Dà yáng zhōu]
oceanologiisto;oceanologi.0isto;海洋学者[hǎi yáng xué zhě],海洋學者[hǎi yáng xué zhě]
oceanologiisto;oceanologi.0isto;海洋研究者[hǎi yáng yán jiū zhē]
oceanologio;oceanologi.0o;海洋学[hǎi yáng xué],海洋學[hǎi yáng xué]
odekolono;odekolon.0o;花露水[huā lù shuǐ]
odekolono;odekolon.0o;科隆香水[kē lóng xiāng shuǐ]
Odiseado;odise.0ado;奥德赛[ào dé sài],奧德賽[ào dé sài]
Odiseado;odise.0ado;奥德赛[Ào dé sài],奧德賽[Ào dé sài]
Odiseado;odise.0ado;長途漂泊[cháng tú piāo bó],长途漂泊[cháng tú piāo bó]
Odiseo;odise.0o;奥德修斯[Ào dé xiū sī],奧德修斯[Ào dé xiū sī]
Odiseo;odise.0o;奥迪修斯[Ào dí xiū sī],奧迪修斯[Ào dí xiū sī]
odora;odor.0a;香[xiāng]
odora;odor.0a;好香[hǎo xiāng]
odora;odor.0a;喷香[pèn xiāng],噴香[pèn xiāng]
odora;odor.0a;芳[fāng]
odora;odor.0a;馥馥[fù fù]
odora;odor.0a;芬芳[fēn fāng]
odora;odor.0a;香的[xiāng de]
odora;odor.0a;馡[fēi]
odori;;发出香味[fā chū xiāng wèi],發出香味[fā chū xiāng wèi]
odori;;释放芳香[shì fàng fāng xiāng],釋放芳香[shì fàng fāng xiāng]
odoro;odor.0o;气息[qì xī],氣息[qì xī]
odoro;odor.0o;味[wèi]
odoro;odor.0o;气[qì],氣[qì]
odoro;odor.0o;气味[qì wèi],氣味[qì wèi]
bonodora;odor.bon0a;馡[fēi]
bonodora;odor.bon0a;馨[xīn]
bonodora;odor.bon0a;苾[bì]
bonodora;odor.bon0a;芳[fāng]
bonodora;odor.bon0a;香[xiāng]
bonodora;odor.bon0a;芬芳[fēn fāng]
bonodorfumaĵo;odor.bon0fumajxo;炷[zhù]
bonodorfumaĵo;odor.bon0fumajxo;香气[xiāng qì],香氣[xiāng qì]
bonodorfumaĵo;odor.bon0fumajxo;香[xiāng]
bonodorfumaĵo;odor.bon0fumajxo;乳香[rǔ xiāng]
bonodorfumaĵo;odor.bon0fumajxo;線香[xiàn xiāng],线香[xiàn xiāng]
bonodori;odor.bon0i;发出香味[fā chū xiāng wèi],發出香味[fā chū xiāng wèi]
bonodori;odor.bon0i;释放芳香[shì fàng fāng xiāng],釋放芳香[shì fàng fāng xiāng]
malbonodora;odor.malbon0a;臭[chòu]
malbonodora;odor.malbon0a;臭烘烘[chòu hōng hōng]
malbonodora;odor.malbon0a;臭熏熏[chòu xūn xūn],臭燻燻[chòu xūn xūn]
malbonodora;odor.malbon0a;臭的[chòu de]
fiodori;odor.malbon0i;发臭[fā chòu],發臭[fā chòu]
odoraĉo;odor.malbon0o;恶臭[è chòu],惡臭[è chòu]
odoraĉo;odor.malbon0o;臊气[sāo qì],臊氣[sāo qì]
odoraĉo;odor.malbon0o;臭气[chòu qì],臭氣[chòu qì]
senodorigilo;odor.sen0igilo;除臭剂[chú chòu jì],除臭劑[chú chòu jì]
senodorigilo;odor.sen0igilo;香体剂[xiāng tǐ jì],香體劑[xiāng tǐ jì]
Odro;odr.O0o;奧得河[ào dé hé]
Odro;odr.O0o;奥得河[ào děi hé],奧得河[ào děi hé]
ofenda;ofend.0a;难听[nán tīng],難聽[nán tīng]
ofendeti;ofend.0eti;呧[dǐ]
ofendeti;ofend.0eti;伤心[shāng xīn],傷心[shāng xīn]
ofendi;ofend.0i;冒犯[mào fàn]
ofendi;ofend.0i;惹人[rě rén]
ofendi;ofend.0i;触犯[chù fàn],觸犯[chù fàn]
ofendi;ofend.0i;惹恼[rě nǎo],惹惱[rě nǎo]
ofendiĝema;ofend.0igxema;敏感[mǐn gǎn]
ofendiĝi;ofend.0igxi;上火[shàng huǒ]
ofendiĝo;ofend.0igxo;饞言[chán yán],馋言[chán yán]
ofendo;ofend.0o;冒犯[mào fàn]
ofendo;ofend.0o;凌辱[líng rǔ]
ofendo;ofend.0o;謷[áo]
ofendo;ofend.0o;罪愆[zuì qiān]
ofensivo;ofensi.0o;攻势[gōng shì],攻勢[gōng shì]
ofensivo;ofensi.0o;进攻[jìn gōng],進攻[jìn gōng]
oferado;ofer.0ado;牺[xī],犧[xī]
oferaĵo;ofer.0ajxo;供[gòng]
oferaĵo;ofer.0ajxo;牲礼[shēng lǐ],牲禮[shēng lǐ]
oferaĵo;ofer.0ajxo;供物[gòng wù]
oferaĵo;ofer.0ajxo;供品[gòng pǐn]
oferaĵo;ofer.0ajxo;犊[dú],犢[dú]
oferaĵo;ofer.0ajxo;祭牲[jì shēng]
oferaĵo;ofer.0ajxo;奉现[fèng xiàn],奉現[fèng xiàn]
oferaĵo;ofer.0ajxo;餼[xì],饩[xì]
oferema;ofer.0ema;慷慨[kāng kǎi]
oferema;ofer.0ema;慨[kǎi]
oferi;ofer.0i;牺牲[xī shēng],犧牲[xī shēng]
oferi;ofer.0i;牲礼[shēng lǐ],牲禮[shēng lǐ]
ofero;ofer.0o;牺牲[xī shēng],犧牲[xī shēng]
ofero;ofer.0o;禜[yǒng]
ofero;ofer.0o;軷[bá]
ofero;ofer.0o;祭物[jì wù]
ofero;ofer.0o;畤[zhì]
brulofero;ofer.brul0o;烧祭[shāo jì],燒祭[shāo jì]
brulofero;ofer.brul0o;全烧祭[quán shāo jì],全燒祭[quán shāo jì]
buĉofero;ofer.bucx0o;牺牲品[xī shēng pǐn],犧牲品[xī shēng pǐn]
buĉofero;ofer.bucx0o;牺牲者[xī shēng zhě],犧牲者[xī shēng zhě]
buĉofero;ofer.bucx0o;祭品[jì pǐn]
sinofero;ofer.sin0o;事业心[shì yè xīn],事業心[shì yè xīn]
sinofero;ofer.sin0o;献身[xiàn shēn],獻身[xiàn shēn]
sinofero;ofer.sin0o;奉献[fèng xiàn],奉獻[fèng xiàn]
sinofero;ofer.sin0o;沉溺于[chén nì yú],沉溺於[chén nì yú]
verŝofero;;奠酒[diàn jiǔ]
oferti;ofert.0i;献[xiàn],獻[xiàn]
oferti;ofert.0i;報盤[bào pán],报盘[bào pán]
oferti;ofert.0i;提供[tí gōng]
oferti;ofert.0i;奉上[fèng shàng]
oferto;ofert.0o;報盤[bào pán],报盘[bào pán]
oferto;ofert.0o;下注[xià zhù]
oferto;ofert.0o;出价了[chū jià liǎo],出價了[chū jià liǎo]
oferto;ofert.0o;建議過[jiàn yì guò],建议过[jiàn yì guò]
oferto;ofert.0o;提議過[tí yì guò],提议过[tí yì guò]
oficejo;ofic.0ejo;局[jú]
oficejo;ofic.0ejo;办公室[bàn gōng shì],辦公室[bàn gōng shì]
oficejo;ofic.0ejo;署[shǔ]
oficejo;ofic.0ejo;衙[yá]
oficejo;ofic.0ejo;廨[xiè]
oficisto;ofic.0isto;公備員[gōng bèi yuán],公备员[gōng bèi yuán]
oficisto;ofic.0isto;宦[huàn]
ofico;ofic.0o;职[zhí],職[zhí]
ofico;ofic.0o;岗位[gǎng wèi],崗位[gǎng wèi]
ofico;ofic.0o;差事[chāi shi]
centra oficejo;ofic.centra_0ejo;总公司[zǒng gōng sī],總公司[zǒng gōng sī]
centra oficejo;ofic.centra_0ejo;本部[běn bù]
centra oficejo;ofic.centra_0ejo;总局[zǒng jú],總局[zǒng jú]
senoficigi;ofic.sen0igi;撤职[chè zhí],撤職[chè zhí]
senoficigi;ofic.sen0igi;免职[miǎn zhí],免職[miǎn zhí]
senoficigi;ofic.sen0igi;免[miǎn]
ŝtatoficisto;ofic.sxtat0isto;官吏[guān lì]
ŝtatoficisto;ofic.sxtat0isto;官员[guān yuán],官員[guān yuán]
